Date and Time,Temperature (C)               
24/02/2015 11:30,28.962
24/02/2015 12:00,28.971
24/02/2015 12:30,29.051
24/02/2015 13:00,29.269
24/02/2015 13:30,29.53
24/02/2015 14:00,29.528
24/02/2015 14:30,29.619
24/02/2015 15:00,29.698
24/02/2015 15:30,29.853
24/02/2015 16:00,29.946
24/02/2015 16:30,30.346
24/02/2015 17:00,30.329
24/02/2015 17:30,30.149
24/02/2015 18:00,30.016
24/02/2015 18:30,30.133
24/02/2015 19:00,29.985
24/02/2015 19:30,30.02
24/02/2015 20:00,29.97
24/02/2015 20:30,29.721
24/02/2015 21:00,30.059
24/02/2015 21:30,30.016
24/02/2015 22:00,29.806
24/02/2015 22:30,29.603
24/02/2015 23:00,29.449
24/02/2015 23:30,29.176
25/02/2015 0:00,29.13
25/02/2015 0:30,29.059
25/02/2015 1:00,29.038
25/02/2015 1:30,29.02
25/02/2015 2:00,28.98
25/02/2015 2:30,28.967
25/02/2015 3:00,28.946
25/02/2015 3:30,28.91
25/02/2015 4:00,28.939
25/02/2015 4:30,28.947
25/02/2015 5:00,28.937
25/02/2015 5:30,28.91
25/02/2015 6:00,28.905
25/02/2015 6:30,28.875
25/02/2015 7:00,28.916
25/02/2015 7:30,28.913
25/02/2015 8:00,28.92
25/02/2015 8:30,28.969
25/02/2015 9:00,28.97
25/02/2015 9:30,29.041
25/02/2015 10:00,29.087
25/02/2015 10:30,29.125
25/02/2015 11:00,29.106
25/02/2015 11:30,29.141
25/02/2015 12:00,29.137
25/02/2015 12:30,29.112
25/02/2015 13:00,29.135
25/02/2015 13:30,29.141
25/02/2015 14:00,29.147
25/02/2015 14:30,29.178
25/02/2015 15:00,29.197
25/02/2015 15:30,29.29
25/02/2015 16:00,29.361
25/02/2015 16:30,29.314
25/02/2015 17:00,29.239
25/02/2015 17:30,29.627
25/02/2015 18:00,29.649
25/02/2015 18:30,29.605
25/02/2015 19:00,29.56
25/02/2015 19:30,29.516
25/02/2015 20:00,29.489
25/02/2015 20:30,29.469
25/02/2015 21:00,29.427
25/02/2015 21:30,29.416
25/02/2015 22:00,29.385
25/02/2015 22:30,29.377
25/02/2015 23:00,29.356
25/02/2015 23:30,29.327
26/02/2015 0:00,29.331
26/02/2015 0:30,29.307
26/02/2015 1:00,29.242
26/02/2015 1:30,29.229
26/02/2015 2:00,29.213
26/02/2015 2:30,29.212
26/02/2015 3:00,29.102
26/02/2015 3:30,29.167
26/02/2015 4:00,29.174
26/02/2015 4:30,29.164
26/02/2015 5:00,29.123
26/02/2015 5:30,29.149
26/02/2015 6:00,29.16
26/02/2015 6:30,29.214
26/02/2015 7:00,29.123
26/02/2015 7:30,29.209
26/02/2015 8:00,29.235
26/02/2015 8:30,29.295
26/02/2015 9:00,29.287
26/02/2015 9:30,29.355
26/02/2015 10:00,29.254
26/02/2015 10:30,29.203
26/02/2015 11:00,29.232
26/02/2015 11:30,29.33
26/02/2015 12:00,29.346
26/02/2015 12:30,29.414
26/02/2015 13:00,29.445
26/02/2015 13:30,29.467
26/02/2015 14:00,29.511
26/02/2015 14:30,29.516
26/02/2015 15:00,29.557
26/02/2015 15:30,29.713
26/02/2015 16:00,29.727
26/02/2015 16:30,29.688
26/02/2015 17:00,29.586
26/02/2015 17:30,29.543
26/02/2015 18:00,29.536
26/02/2015 18:30,29.603
26/02/2015 19:00,29.558
26/02/2015 19:30,29.553
26/02/2015 20:00,29.56
26/02/2015 20:30,29.553
26/02/2015 21:00,29.521
26/02/2015 21:30,29.504
